,ScripCode,TradingSymbol,Description,InstrumentType
278,28983,ANYA-SM,ANYA POLYTECH & FERTI LTD,0
279,11945,ANZEN-IV,ANZEN IND ENE YLD PLU TRU,0
280,11491,APARINDS-EQ,APAR INDUSTRIES LTD.,0
281,20453,APCL-EQ,ANJANI PORTLAND CEM LTD,0
282,154,APCOTEXIND-EQ,APCOTEX INDUSTRIES LIMITE,0
283,21623,APEX-EQ,APEX FROZEN FOODS LIMITED,0
284,27288,APEXECO-SM,APEX ECOTECH LIMITED,0
285,25780,APLAPOLLO-EQ,APL APOLLO TUBES LTD,0
286,25328,APLLTD-EQ,ALEMBIC PHARMA LTD,0
287,1134,APOLLO-EQ,APOLLO MICRO SYSTEMS LTD,0
288,157,APOLLOHOSP-EQ,APOLLO HOSPITALS ENTER. L,0
289,14361,APOLLOPIPE-EQ,APOLLO PIPES LIMITED,0
290,163,APOLLOTYRE-EQ,APOLLO TYRES LTD,0
291,6302,APOLSINHOT-EQ,APOLLO SINDOORI HOTEL LTD,0
292,24641,APRAMEYA-ST,APRAMEYA ENGINEERING LTD,0
293,21451,APS-SM,AUSTRALIAN PREM SOLAR I L,0
294,10755,APTECHT-EQ,APTECH LIMITED,0
295,5435,APTUS-EQ,APTUS VALUE HSG FIN I LTD,0
296,19253,ARABIAN-SM,ARABIAN PETROLEUM LIMITED,0
297,16795,ARCHIDPLY-EQ,ARCHIDPLY IND. LTD,0
298,5688,ARCHIES-EQ,ARCHIES LTD,0
299,100,ARE&M-EQ,AMARA RAJA ENERGY MOB LTD,0
300,9499,ARENTERP-BE,RAJDARSHAN INDUSTRIES LTD,0
301,13092,ARHAM-SM,ARHAM TECHNOLOGIES LTD,0
302,15208,ARIES-BE,ARIES AGRO LTD.,0
303,13348,ARIHANTACA-ST,ARIHANT ACADEMY LIMITED,0
304,3813,ARIHANTCAP-EQ,ARIHANT CAPITAL MKTS LTD,0
305,20159,ARIHANTSUP-EQ,ARIHANT SUPERSTRUCT LTD,0
306,13931,ARISTO-ST,ARISTO BIO T AND LIFESC L,0
307,25398,ARKADE-EQ,ARKADE DEVELOPERS LIMITED,0
308,17263,ARMANFIN-EQ,ARMAN FIN SERV LTD,0
309,14557,AROGRANITE-EQ,ARO GRANITE IND. LTD.,0
310,9260,ARROWGREEN-EQ,ARROW GREENTECH LIMITED,0
311,29015,ARSHIYA-BZ,ARSHIYA LIMITED,0
312,16913,ARTEMISMED-EQ,ARTEMIS MED SERVICE LTD,0
313,6159,ARTNIRMAN-BE,ART NIRMAN LIMITED,0
314,2814,ARVEE-EQ,ARVEE LABORATORIES I LTD,0
315,193,ARVIND-EQ,ARVIND LIMITED,0
316,9111,ARVINDFASN-EQ,ARVIND FASHIONS LIMITED,0
317,19587,ARVINDPORT-ST,ARVIND PORT AND INFRA LTD,0
318,10457,ARVSMART-EQ,ARVIND SMARTSPACES LTD,0
319,5378,ASAHIINDIA-EQ,ASAHI INDIA GLASS LIMITED,0
320,25088,ASAHISONG-EQ,ASAHI SONGWON COLOR LTD,0
321,10634,ASAL-EQ,AUTOMOTIVE STAMPINGS & AS,0
322,17598,ASALCBR-EQ,ASSO ALCOHOLS & BREW LTD,0
323,15030,ASCOM-ST,ASCOM LEASIN & INVEST LTD,0
324,24714,ASHALOG-ST,ASHAPURA LOGISTICS LTD,0
325,203,ASHAPURMIN-EQ,ASHAPURA MINECHEM LTD,0
326,24403,ASHIANA-EQ,ASHIANA HOUSING LTD,0
327,7895,ASHIMASYN-BE,ASHIMA LTD,0
328,20182,ASHOKA-EQ,ASHOKA BUILDCON LTD,0
329,16943,ASHOKAMET-EQ,ASHOKA METCAST LIMITED,0
330,212,ASHOKLEY-EQ,ASHOK LEYLAND LTD,0
331,7030,ASIANENE-EQ,ASIAN ENERGY SERVICES LTD,0
332,18425,ASIANHOTNR-BE,ASIAN HOTELS (NORTH) LTD,0
333,236,ASIANPAINT-EQ,ASIAN PAINTS LIMITED,0
334,14889,ASIANTILES-EQ,ASIAN GRANITO IND. LTD.,0
335,20152,ASKAUTOLTD-EQ,ASK AUTOMOTIVE LIMITED,0
336,20502,ASLIND-SM,ASL INDUSTRIES LIMITED,0
337,14064,ASMS-EQ,BARTRONICS INDIA LIMITED,0
338,17270,ASPINWALL-EQ,ASPINWALL & CO LTD,0
339,23401,ASPIRE-ST,ASPIRE & INNOVATIVE ADV L,0
340,17728,ASTEC-EQ,ASTEC LIFESCIENCES LTD,0
341,1508,ASTERDM-EQ,ASTER DM HEALTHCARE LTD.,0
